#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Aug 24 12:14:30 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       SpecialCasesCheck_map.ncd
#OUTPUT FILE:      SpecialCasesCheck_pad.csv
#PART TYPE:        xa6slx4
#SPEED GRADE:      -3
#PACKAGE:          csg225
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C9,Y<20>,IOB,IO_L39N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C10,Y<23>,IOB,IO_L62P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C11,Y<28>,IOB,IO_L64N_SCP4_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C12,Y<31>,IOB,IO_L66P_SCP1_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,GND,,,,,,,,,,,,
C14,,IOBM,IO_L33P_1,UNUSED,,1,,,,,,,,,
C15,,IOBS,IO_L33N_1,UNUSED,,1,,,,,,,,,
D1,X<29>,IOB,IO_L54N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D2,,,VCCO_3,,,3,,,,,any******,,,,
D3,X<28>,IOB,IO_L54P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D4,X<26>,IOB,IO_L53P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D5,Y<3>,IOB,IO_L3P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,NC,,,,,,,,,,,,
D7,,,NC,,,,,,,,,,,,
D8,Y<12>,IOB,IO_L34N_GCLK18_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D9,,,VCCO_0,,,0,,,,,2.50,,,,
D10,Y<19>,IOB,IO_L39P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D11,Y<27>,IOB,IO_L64P_SCP5_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D12,,,TDO,,,,,,,,,,,,
D13,,IOBM,IO_L35P_1,UNUSED,,1,,,,,,,,,
D14,,,VCCO_1,,,1,,,,,any******,,,,
D15,,IOBS,IO_L35N_1,UNUSED,,1,,,,,,,,,
E1,X<25>,IOB,IO_L52N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E2,X<24>,IOB,IO_L52P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E3,X<27>,IOB,IO_L53N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E4,,,NC,,,,,,,,,,,,
E5,,,NC,,,,,,,,,,,,
E6,,,NC,,,,,,,,,,,,
E7,Y<11>,IOB,IO_L34P_GCLK19_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E8,,,NC,,,,,,,,,,,,
E9,Y<22>,IOB,IO_L40N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E10,,,TDI,,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,,VCCAUX,,,,,,,,2.5,,,,
E13,,,TMS,,,,,,,,,,,,
E14,,IOBM,IO_L37P_1,UNUSED,,1,,,,,,,,,
E15,,IOBS,IO_L37N_1,UNUSED,,1,,,,,,,,,
F1,X<23>,IOB,IO_L46N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F2,,,GND,,,,,,,,,,,,
F3,X<22>,IOB,IO_L46P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F4,,,NC,,,,,,,,,,,,
F5,,,NC,,,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCAUX,,,,,,,,2.5,,,,
F8,,,NC,,,,,,,,,,,,
F9,,,VCCINT,,,,,,,,1.2,,,,
F10,Y<21>,IOB,IO_L40P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F11,,,NC,,,,,,,,,,,,
F12,,,NC,,,,,,,,,,,,
F13,,IOBM,IO_L39P_1,UNUSED,,1,,,,,,,,,
F14,,,GND,,,,,,,,,,,,
F15,,IOBS,IO_L39N_1,UNUSED,,1,,,,,,,,,
G1,X<12>,IOB,IO_L44N_GCLK20_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,X<15>,IOB,IO_L44P_GCLK21_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G3,,,NC,,,,,,,,,,,,
G4,,,VCCO_3,,,3,,,,,any******,,,,
G5,,,NC,,,,,,,,,,,,
G6,,,VCCINT,,,,,,,,1.2,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCINT,,,,,,,,1.2,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,,,NC,,,,,,,,,,,,
G12,,,NC,,,,,,,,,,,,
G13,,,NC,,,,,,,,,,,,
G14,,IOBM,IO_L41P_GCLK9_IRDY1_1,UNUSED,,1,,,,,,,,,
G15,,IOBS,IO_L41N_GCLK8_1,UNUSED,,1,,,,,,,,,
H1,X<18>,IOB,IO_L42N_GCLK24_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,,,VCCO_3,,,3,,,,,any******,,,,
H3,X<14>,IOB,IO_L42P_GCLK25_TRDY2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,,,NC,,,,,,,,,,,,
H5,,,NC,,,,,,,,,,,,
H6,,,NC,,,,,,,,,,,,
H7,,,VCCINT,,,,,,,,1.2,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,NC,,,,,,,,,,,,
H11,,,NC,,,,,,,,,,,,
H12,,,NC,,,,,,,,,,,,
H13,,IOBM,IO_L42P_GCLK7_1,UNUSED,,1,,,,,,,,,
H14,,,VCCO_1,,,1,,,,,any******,,,,
H15,,IOBS,IO_L42N_GCLK6_TRDY1_1,UNUSED,,1,,,,,,,,,
J1,X<16>,IOB,IO_L41N_GCLK26_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J2,X<19>,IOB,IO_L41P_GCLK27_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J3,X<17>,IOB,IO_L43N_GCLK22_IRDY2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J4,X<21>,IOB,IO_L45N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,,,NC,,,,,,,,,,,,
J6,,,VCCAUX,,,,,,,,2.5,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,IOBM,IO_L36P_1,UNUSED,,1,,,,,,,,,
J12,,,VCCO_1,,,1,,,,,any******,,,,
J13,,IOBS,IO_L36N_1,UNUSED,,1,,,,,,,,,
J14,,IOBM,IO_L43P_GCLK5_1,UNUSED,,1,,,,,,,,,
J15,,IOBS,IO_L43N_GCLK4_1,UNUSED,,1,,,,,,,,,
K1,X<11>,IOB,IO_L40N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K2,,,GND,,,,,,,,,,,,
K3,X<10>,IOB,IO_L40P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,X<20>,IOB,IO_L43P_GCLK23_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K5,X<13>,IOB,IO_L45P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K6,,,GND,,,,,,,,,,,,
K7,,,VCCINT,,,,,,,,1.2,,,,
K8,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
K9,,,VCCAUX,,,,,,,,2.5,,,,
K10,,IOBM,IO_L38P_1,UNUSED,,1,,,,,,,,,
K11,,IOBS,IO_L38N_1,UNUSED,,1,,,,,,,,,
K12,,IOBM,IO_L40P_GCLK11_1,UNUSED,,1,,,,,,,,,
K13,,IOBM,IO_L44P_1,UNUSED,,1,,,,,,,,,
K14,,,GND,,,,,,,,,,,,
K15,,IOBS,IO_L44N_1,UNUSED,,1,,,,,,,,,
L1,X<9>,IOB,IO_L39N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L2,X<8>,IOB,IO_L39P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L3,X<5>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L4,,,VCCAUX,,,,,,,,2.5,,,,
L5,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
L6,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
L7,,,NC,,,,,,,,,,,,
L8,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
L9,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
L10,,,CMPCS_B_2,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,IOBS,IO_L40N_GCLK10_1,UNUSED,,1,,,,,,,,,
L13,,,SUSPEND,,,,,,,,,,,,
L14,,IOBM,IO_L45P_1,UNUSED,,1,,,,,,,,,
L15,,IOBS,IO_L45N_1,UNUSED,,1,,,,,,,,,
M1,X<1>,IOB,IO_L38N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M2,,,VCCO_3,,,3,,,,,any******,,,,
M3,X<0>,IOB,IO_L38P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M4,X<4>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M5,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
M6,,,NC,,,,,,,,,,,,
M7,,,VCCO_2,,,2,,,,,any******,,,,
M8,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
M9,,,NC,,,,,,,,,,,,
M10,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
M11,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
M12,,,VCCAUX,,,,,,,,2.5,,,,
M13,,IOBM,IO_L46P_1,UNUSED,,1,,,,,,,,,
M14,,,VCCO_1,,,1,,,,,any******,,,,
M15,,IOBS,IO_L46N_1,UNUSED,,1,,,,,,,,,
N1,X<7>,IOB,IO_L37N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,X<6>,IOB,IO_L37P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,GND,,,,,,,,,,,,
N4,,IOBM,IO_L63P_2,UNUSED,,2,,,,,,,,,
N5,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
N6,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
N7,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
N8,,IOBM,IO_L29P_GCLK3_2,UNUSED,,2,,,,,,,,,
N9,,,NC,,,,,,,,,,,,
N10,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
N11,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
N12,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
N13,,,GND,,,,,,,,,,,,
N14,,IOBM,IO_L47P_1,UNUSED,,1,,,,,,,,,
N15,,IOBS,IO_L47N_1,UNUSED,,1,,,,,,,,,
P1,X<3>,IOB,IO_L2N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,X<2>,IOB,IO_L2P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P4,,,VCCO_2,,,2,,,,,any******,,,,
P5,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
P6,,,GND,,,,,,,,,,,,
P7,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
P8,,,VCCO_2,,,2,,,,,any******,,,,
P9,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
P10,,,GND,,,,,,,,,,,,
P11,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P12,,,VCCO_2,,,2,,,,,any******,,,,
P13,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
P14,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
P15,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
R1,,,GND,,,,,,,,,,,,
R2,,,PROGRAM_B_2,,,,,,,,,,,,
R3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
R4,,IOBS,IO_L63N_2,UNUSED,,2,,,,,,,,,
R5,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
R6,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
R7,,IOBS,IO_L32N_GCLK28_2,UNUSED,,2,,,,,,,,,
R8,,IOBS,IO_L29N_GCLK2_2,UNUSED,,2,,,,,,,,,
R9,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
R10,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
R11,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
R12,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
R13,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
R14,,,DONE_2,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
